Commune A;Commune B;Distance
BEAUVAIS;AJACCIO;91
BEAUVAIS;MAMOUDZOU;88
CALAIS;STRASBOURG;22
CALAIS;COLMAR;27
CALAIS;MULHOUSE;28
CALAIS;ROUEN;62
CALAIS;SARTROUVILLE;83
CALAIS;VERSAILLES;81
CALAIS;AMIENS;70
CALAIS;MONTAUBAN;50
CALAIS;LIMOGES;53
CALAIS;BELFORT;81
CALAIS;NEUILLY-SUR-SEINE;94
CALAIS;CLAMART;95
CALAIS;ISSY-LES-MOULINEAUX;95
CALAIS;RUEIL-MALMAISON;87
CALAIS;LEVALLOIS-PERRET;95
CALAIS;BOULOGNE-BILLANCOURT;93
CALAIS;ASNIERES-SUR-SEINE;95
CALAIS;COLOMBES;91
CALAIS;COURBEVOIE;92
CALAIS;CLICHY;97
CALAIS;NANTERRE;86
CALAIS;EPINAY-SUR-SEINE;97
CALAIS;CERGY;70
CALAIS;ARGENTEUIL;90
CALAIS;FORT-DE-FRANCE;47
CALAIS;MAMOUDZOU;58
CLERMONT-FERRAND;PAU;85
CLERMONT-FERRAND;LE HAVRE;64
CLERMONT-FERRAND;HYERES;58
CLERMONT-FERRAND;FREJUS;95
CLERMONT-FERRAND;TOULON;68
CLERMONT-FERRAND;LA SEYNE-SUR-MER;71
CLERMONT-FERRAND;ABYMES;88
CLERMONT-FERRAND;SAINT-DENIS;40
PAU;LE HAVRE;56
PAU;HYERES;29
PAU;FREJUS;92
PAU;TOULON;19
PAU;LA SEYNE-SUR-MER;20
PAU;SAINT-LOUIS;84
PERPIGNAN;CHAMBERY;73
PERPIGNAN;ANNECY;47
PERPIGNAN;PARIS;60
PERPIGNAN;CHELLES;32
PERPIGNAN;MEAUX;2
PERPIGNAN;SARTROUVILLE;77
PERPIGNAN;VERSAILLES;84
PERPIGNAN;NIORT;96
PERPIGNAN;POITIERS;80
PERPIGNAN;EVRY;58
PERPIGNAN;NEUILLY-SUR-SEINE;68
PERPIGNAN;CLAMART;70
PERPIGNAN;ISSY-LES-MOULINEAUX;69
PERPIGNAN;RUEIL-MALMAISON;76
PERPIGNAN;ANTONY;67
PERPIGNAN;LEVALLOIS-PERRET;66
PERPIGNAN;BOULOGNE-BILLANCOURT;71
PERPIGNAN;ASNIERES-SUR-SEINE;66
PERPIGNAN;COLOMBES;70
PERPIGNAN;COURBEVOIE;70
PERPIGNAN;CLICHY;65
PERPIGNAN;NANTERRE;76
PERPIGNAN;MONTREUIL;50
PERPIGNAN;AULNAY-SOUS-BOIS;40
PERPIGNAN;SAINT-DENIS;58
PERPIGNAN;NOISY-LE-GRAND;37
PERPIGNAN;AUBERVILLIERS;55
PERPIGNAN;PANTIN;54
PERPIGNAN;BONDY;46
PERPIGNAN;EPINAY-SUR-SEINE;63
PERPIGNAN;DRANCY;48
PERPIGNAN;LE BLANC-MESNIL;48
PERPIGNAN;FONTENAY-SOUS-BOIS;45
PERPIGNAN;SAINT-MAUR-DES-FOSSES;45
PERPIGNAN;VILLEJUIF;59
PERPIGNAN;VITRY-SUR-SEINE;56
PERPIGNAN;CHAMPIGNY-SUR-MARNE;43
PERPIGNAN;IVRY-SUR-SEINE;57
PERPIGNAN;MAISONS-ALFORT;52
PERPIGNAN;CRETEIL;49
PERPIGNAN;CERGY;90
PERPIGNAN;ARGENTEUIL;70
PERPIGNAN;SARCELLES;55
PERPIGNAN;AJACCIO;87
STRASBOURG;COLMAR;44
STRASBOURG;MULHOUSE;50
STRASBOURG;PARIS;97
STRASBOURG;ROUEN;47
STRASBOURG;SARTROUVILLE;78
STRASBOURG;VERSAILLES;73
STRASBOURG;AMIENS;84
STRASBOURG;MONTAUBAN;28
STRASBOURG;LIMOGES;46
STRASBOURG;NEUILLY-SUR-SEINE;88
STRASBOURG;CLAMART;88
STRASBOURG;ISSY-LES-MOULINEAUX;88
STRASBOURG;RUEIL-MALMAISON;81
STRASBOURG;ANTONY;92
STRASBOURG;LEVALLOIS-PERRET;90
STRASBOURG;BOULOGNE-BILLANCOURT;86
STRASBOURG;ASNIERES-SUR-SEINE;90
STRASBOURG;COLOMBES;86
STRASBOURG;COURBEVOIE;86
STRASBOURG;CLICHY;92
STRASBOURG;NANTERRE;80
STRASBOURG;SAINT-DENIS;98
STRASBOURG;EPINAY-SUR-SEINE;92
STRASBOURG;VILLEJUIF;99
STRASBOURG;CERGY;65
STRASBOURG;ARGENTEUIL;86
STRASBOURG;FORT-DE-FRANCE;43
STRASBOURG;MAMOUDZOU;36
COLMAR;MULHOUSE;18
COLMAR;LE MANS;98
COLMAR;ROUEN;66
COLMAR;AMIENS;82
COLMAR;MONTAUBAN;71
COLMAR;LIMOGES;80
COLMAR;BELFORT;63
COLMAR;CERGY;96
COLMAR;FORT-DE-FRANCE;40
COLMAR;SAINT-DENIS;93
COLMAR;MAMOUDZOU;74
MULHOUSE;LE MANS;96
MULHOUSE;ROUEN;81
MULHOUSE;AMIENS;66
MULHOUSE;MONTAUBAN;79
MULHOUSE;LIMOGES;76
MULHOUSE;BELFORT;52
MULHOUSE;CERGY;89
MULHOUSE;FORT-DE-FRANCE;58
MULHOUSE;MAMOUDZOU;85
VENISSIEUX;LYON;4
VENISSIEUX;VILLEURBANNE;1
VENISSIEUX;AVIGNON;23
VENISSIEUX;LA ROCHE-SUR-YON;16
VENISSIEUX;CAYENNE;40
VENISSIEUX;SAINT-ANDRE;44
VENISSIEUX;SAINT-PAUL;46
VENISSIEUX;TAMPON;78
LYON;VILLEURBANNE;4
LYON;AVIGNON;20
LYON;LA ROCHE-SUR-YON;12
LYON;CAYENNE;35
LYON;SAINT-ANDRE;47
LYON;SAINT-PAUL;50
LYON;TAMPON;82
VILLEURBANNE;AVIGNON;24
VILLEURBANNE;LA ROCHE-SUR-YON;15
VILLEURBANNE;CAYENNE;39
VILLEURBANNE;SAINT-ANDRE;43
VILLEURBANNE;SAINT-PAUL;45
VILLEURBANNE;TAMPON;77
LE MANS;BELFORT;56
LE MANS;SAINT-DENIS;91
CHAMBERY;ANNECY;41
CHAMBERY;MEAUX;74
CHAMBERY;NIORT;77
CHAMBERY;SAINT-ANDRE;92
CHAMBERY;SAINT-PAUL;74
CHAMBERY;TAMPON;63
ANNECY;CHELLES;80
ANNECY;MEAUX;50
ANNECY;NIORT;55
ANNECY;POITIERS;93
ANNECY;MONTREUIL;98
ANNECY;AULNAY-SOUS-BOIS;88
ANNECY;NOISY-LE-GRAND;84
ANNECY;BONDY;94
ANNECY;DRANCY;96
ANNECY;LE BLANC-MESNIL;96
ANNECY;FONTENAY-SOUS-BOIS;93
ANNECY;SAINT-MAUR-DES-FOSSES;93
ANNECY;CHAMPIGNY-SUR-MARNE;91
ANNECY;CRETEIL;97
ANNECY;SAINT-PAUL;91
ANNECY;TAMPON;63
PARIS;CHELLES;28
PARIS;MEAUX;58
PARIS;SARTROUVILLE;18
PARIS;VERSAILLES;23
PARIS;AMIENS;77
PARIS;MONTAUBAN;91
PARIS;POITIERS;94
PARIS;LIMOGES;50
PARIS;EVRY;21
PARIS;NEUILLY-SUR-SEINE;8
PARIS;CLAMART;9
PARIS;ISSY-LES-MOULINEAUX;9
PARIS;RUEIL-MALMAISON;16
PARIS;ANTONY;9
PARIS;LEVALLOIS-PERRET;7
PARIS;BOULOGNE-BILLANCOURT;10
PARIS;ASNIERES-SUR-SEINE;7
PARIS;COLOMBES;11
PARIS;COURBEVOIE;10
PARIS;CLICHY;5
PARIS;NANTERRE;16
PARIS;MONTREUIL;9
PARIS;AULNAY-SOUS-BOIS;20
PARIS;SAINT-DENIS;5
PARIS;NOISY-LE-GRAND;24
PARIS;AUBERVILLIERS;6
PARIS;PANTIN;6
PARIS;BONDY;13
PARIS;EPINAY-SUR-SEINE;7
PARIS;DRANCY;13
PARIS;LE BLANC-MESNIL;13
PARIS;FONTENAY-SOUS-BOIS;15
PARIS;SAINT-MAUR-DES-FOSSES;17
PARIS;VILLEJUIF;5
PARIS;VITRY-SUR-SEINE;8
PARIS;CHAMPIGNY-SUR-MARNE;19
PARIS;IVRY-SUR-SEINE;5
PARIS;MAISONS-ALFORT;11
PARIS;CRETEIL;14
PARIS;CERGY;32
PARIS;ARGENTEUIL;12
PARIS;SARCELLES;11
PARIS;AJACCIO;54
ROUEN;MONTAUBAN;42
ROUEN;FREJUS;73
ROUEN;LIMOGES;87
ROUEN;FORT-DE-FRANCE;28
ROUEN;SAINT-DENIS;86
ROUEN;MAMOUDZOU;31
LE HAVRE;HYERES;35
LE HAVRE;FREJUS;42
LE HAVRE;TOULON;54
LE HAVRE;LA SEYNE-SUR-MER;60
LE HAVRE;SAINT-DENIS;76
LE HAVRE;SAINT-LOUIS;86
CHELLES;MEAUX;30
CHELLES;SARTROUVILLE;46
CHELLES;VERSAILLES;52
CHELLES;AMIENS;90
CHELLES;POITIERS;87
CHELLES;LIMOGES;78
CHELLES;EVRY;28
CHELLES;NEUILLY-SUR-SEINE;37
CHELLES;CLAMART;37
CHELLES;ISSY-LES-MOULINEAUX;37
CHELLES;RUEIL-MALMAISON;44
CHELLES;ANTONY;35
CHELLES;LEVALLOIS-PERRET;35
CHELLES;BOULOGNE-BILLANCOURT;39
CHELLES;ASNIERES-SUR-SEINE;35
CHELLES;COLOMBES;38
CHELLES;COURBEVOIE;38
CHELLES;CLICHY;33
CHELLES;NANTERRE;44
CHELLES;MONTREUIL;18
CHELLES;AULNAY-SOUS-BOIS;11
CHELLES;SAINT-DENIS;27
CHELLES;NOISY-LE-GRAND;4
CHELLES;AUBERVILLIERS;24
CHELLES;PANTIN;22
CHELLES;BONDY;14
CHELLES;EPINAY-SUR-SEINE;32
CHELLES;DRANCY;17
CHELLES;LE BLANC-MESNIL;17
CHELLES;FONTENAY-SOUS-BOIS;13
CHELLES;SAINT-MAUR-DES-FOSSES;13
CHELLES;VILLEJUIF;26
CHELLES;VITRY-SUR-SEINE;23
CHELLES;CHAMPIGNY-SUR-MARNE;11
CHELLES;IVRY-SUR-SEINE;24
CHELLES;MAISONS-ALFORT;19
CHELLES;CRETEIL;17
CHELLES;CERGY;60
CHELLES;ARGENTEUIL;39
CHELLES;SARCELLES;26
CHELLES;AJACCIO;62
MEAUX;SARTROUVILLE;75
MEAUX;VERSAILLES;82
MEAUX;NIORT;98
MEAUX;POITIERS;82
MEAUX;EVRY;55
MEAUX;NEUILLY-SUR-SEINE;66
MEAUX;CLAMART;68
MEAUX;ISSY-LES-MOULINEAUX;67
MEAUX;RUEIL-MALMAISON;74
MEAUX;ANTONY;65
MEAUX;LEVALLOIS-PERRET;64
MEAUX;BOULOGNE-BILLANCOURT;69
MEAUX;ASNIERES-SUR-SEINE;64
MEAUX;COLOMBES;68
MEAUX;COURBEVOIE;68
MEAUX;CLICHY;63
MEAUX;NANTERRE;74
MEAUX;MONTREUIL;48
MEAUX;AULNAY-SOUS-BOIS;38
MEAUX;SAINT-DENIS;56
MEAUX;NOISY-LE-GRAND;34
MEAUX;AUBERVILLIERS;53
MEAUX;PANTIN;52
MEAUX;BONDY;44
MEAUX;EPINAY-SUR-SEINE;62
MEAUX;DRANCY;46
MEAUX;LE BLANC-MESNIL;46
MEAUX;FONTENAY-SOUS-BOIS;43
MEAUX;SAINT-MAUR-DES-FOSSES;43
MEAUX;VILLEJUIF;57
MEAUX;VITRY-SUR-SEINE;54
MEAUX;CHAMPIGNY-SUR-MARNE;41
MEAUX;IVRY-SUR-SEINE;55
MEAUX;MAISONS-ALFORT;50
MEAUX;CRETEIL;47
MEAUX;CERGY;89
MEAUX;ARGENTEUIL;68
MEAUX;SARCELLES;53
MEAUX;AJACCIO;85
SARTROUVILLE;VERSAILLES;10
SARTROUVILLE;AMIENS;65
SARTROUVILLE;MONTAUBAN;76
SARTROUVILLE;POITIERS;95
SARTROUVILLE;LIMOGES;32
SARTROUVILLE;EVRY;37
SARTROUVILLE;NEUILLY-SUR-SEINE;10
SARTROUVILLE;CLAMART;13
SARTROUVILLE;ISSY-LES-MOULINEAUX;12
SARTROUVILLE;RUEIL-MALMAISON;4
SARTROUVILLE;ANTONY;18
SARTROUVILLE;LEVALLOIS-PERRET;11
SARTROUVILLE;BOULOGNE-BILLANCOURT;10
SARTROUVILLE;ASNIERES-SUR-SEINE;11
SARTROUVILLE;COLOMBES;7
SARTROUVILLE;COURBEVOIE;8
SARTROUVILLE;CLICHY;13
SARTROUVILLE;NANTERRE;3
SARTROUVILLE;MONTREUIL;28
SARTROUVILLE;AULNAY-SOUS-BOIS;37
SARTROUVILLE;SAINT-DENIS;19
SARTROUVILLE;NOISY-LE-GRAND;43
SARTROUVILLE;AUBERVILLIERS;22
SARTROUVILLE;PANTIN;24
SARTROUVILLE;BONDY;31
SARTROUVILLE;EPINAY-SUR-SEINE;13
SARTROUVILLE;DRANCY;29
SARTROUVILLE;LE BLANC-MESNIL;29
SARTROUVILLE;FONTENAY-SOUS-BOIS;34
SARTROUVILLE;SAINT-MAUR-DES-FOSSES;36
SARTROUVILLE;VILLEJUIF;23
SARTROUVILLE;VITRY-SUR-SEINE;26
SARTROUVILLE;CHAMPIGNY-SUR-MARNE;38
SARTROUVILLE;IVRY-SUR-SEINE;24
SARTROUVILLE;MAISONS-ALFORT;29
SARTROUVILLE;CRETEIL;33
SARTROUVILLE;CERGY;13
SARTROUVILLE;ARGENTEUIL;7
SARTROUVILLE;SARCELLES;22
SARTROUVILLE;AJACCIO;62
SARTROUVILLE;MAMOUDZOU;89
VERSAILLES;AMIENS;72
VERSAILLES;MONTAUBAN;68
VERSAILLES;LIMOGES;28
VERSAILLES;EVRY;37
VERSAILLES;NEUILLY-SUR-SEINE;15
VERSAILLES;CLAMART;14
VERSAILLES;ISSY-LES-MOULINEAUX;14
VERSAILLES;RUEIL-MALMAISON;9
VERSAILLES;ANTONY;18
VERSAILLES;LEVALLOIS-PERRET;17
VERSAILLES;BOULOGNE-BILLANCOURT;13
VERSAILLES;ASNIERES-SUR-SEINE;18
VERSAILLES;COLOMBES;14
VERSAILLES;COURBEVOIE;14
VERSAILLES;CLICHY;19
VERSAILLES;NANTERRE;9
VERSAILLES;MONTREUIL;33
VERSAILLES;AULNAY-SOUS-BOIS;44
VERSAILLES;SAINT-DENIS;26
VERSAILLES;NOISY-LE-GRAND;48
VERSAILLES;AUBERVILLIERS;28
VERSAILLES;PANTIN;30
VERSAILLES;BONDY;37
VERSAILLES;EPINAY-SUR-SEINE;21
VERSAILLES;DRANCY;36
VERSAILLES;LE BLANC-MESNIL;36
VERSAILLES;FONTENAY-SOUS-BOIS;39
VERSAILLES;SAINT-MAUR-DES-FOSSES;40
VERSAILLES;VILLEJUIF;25
VERSAILLES;VITRY-SUR-SEINE;29
VERSAILLES;CHAMPIGNY-SUR-MARNE;42
VERSAILLES;IVRY-SUR-SEINE;27
VERSAILLES;MAISONS-ALFORT;33
VERSAILLES;CRETEIL;37
VERSAILLES;CERGY;14
VERSAILLES;ARGENTEUIL;16
VERSAILLES;SARCELLES;31
VERSAILLES;AJACCIO;55
VERSAILLES;MAMOUDZOU;80
NIORT;POITIERS;93
NIORT;SAINT-ANDRE;63
NIORT;SAINT-PAUL;68
NIORT;TAMPON;33
AMIENS;POITIERS;58
AMIENS;LIMOGES;64
AMIENS;BELFORT;77
AMIENS;EVRY;98
AMIENS;NEUILLY-SUR-SEINE;72
AMIENS;CLAMART;77
AMIENS;ISSY-LES-MOULINEAUX;76
AMIENS;RUEIL-MALMAISON;69
AMIENS;ANTONY;82
AMIENS;LEVALLOIS-PERRET;71
AMIENS;BOULOGNE-BILLANCOURT;74
AMIENS;ASNIERES-SUR-SEINE;70
AMIENS;COLOMBES;69
AMIENS;COURBEVOIE;70
AMIENS;CLICHY;72
AMIENS;NANTERRE;68
AMIENS;MONTREUIL;81
AMIENS;AULNAY-SOUS-BOIS;80
AMIENS;SAINT-DENIS;72
AMIENS;NOISY-LE-GRAND;90
AMIENS;AUBERVILLIERS;74
AMIENS;PANTIN;77
AMIENS;BONDY;80
AMIENS;EPINAY-SUR-SEINE;69
AMIENS;DRANCY;77
AMIENS;LE BLANC-MESNIL;77
AMIENS;FONTENAY-SOUS-BOIS;85
AMIENS;SAINT-MAUR-DES-FOSSES;90
AMIENS;VILLEJUIF;82
AMIENS;VITRY-SUR-SEINE;85
AMIENS;CHAMPIGNY-SUR-MARNE;90
AMIENS;IVRY-SUR-SEINE;82
AMIENS;MAISONS-ALFORT;86
AMIENS;CRETEIL;89
AMIENS;CERGY;59
AMIENS;ARGENTEUIL;66
AMIENS;SARCELLES;68
MONTAUBAN;LIMOGES;48
MONTAUBAN;EVRY;97
MONTAUBAN;NEUILLY-SUR-SEINE;84
MONTAUBAN;CLAMART;82
MONTAUBAN;ISSY-LES-MOULINEAUX;82
MONTAUBAN;RUEIL-MALMAISON;77
MONTAUBAN;ANTONY;84
MONTAUBAN;LEVALLOIS-PERRET;86
MONTAUBAN;BOULOGNE-BILLANCOURT;81
MONTAUBAN;ASNIERES-SUR-SEINE;86
MONTAUBAN;COLOMBES;83
MONTAUBAN;COURBEVOIE;82
MONTAUBAN;CLICHY;87
MONTAUBAN;NANTERRE;77
MONTAUBAN;SAINT-DENIS;94
MONTAUBAN;AUBERVILLIERS;97
MONTAUBAN;PANTIN;98
MONTAUBAN;EPINAY-SUR-SEINE;89
MONTAUBAN;VILLEJUIF;92
MONTAUBAN;VITRY-SUR-SEINE;95
MONTAUBAN;IVRY-SUR-SEINE;94
MONTAUBAN;MAISONS-ALFORT;99
MONTAUBAN;CERGY;66
MONTAUBAN;ARGENTEUIL;83
MONTAUBAN;SARCELLES;99
MONTAUBAN;AJACCIO;87
MONTAUBAN;FORT-DE-FRANCE;55
MONTAUBAN;MAMOUDZOU;13
HYERES;FREJUS;76
HYERES;TOULON;20
HYERES;LA SEYNE-SUR-MER;25
HYERES;SAINT-DENIS;88
HYERES;SAINT-LOUIS;97
FREJUS;TOULON;95
FREJUS;FORT-DE-FRANCE;92
FREJUS;SAINT-DENIS;87
FREJUS;SAINT-LOUIS;77
FREJUS;MAMOUDZOU;90
TOULON;LA SEYNE-SUR-MER;5
TOULON;ABYMES;97
LA SEYNE-SUR-MER;ABYMES;93
AVIGNON;LA ROCHE-SUR-YON;26
AVIGNON;CAYENNE;30
AVIGNON;SAINT-ANDRE;68
AVIGNON;SAINT-PAUL;69
LA ROCHE-SUR-YON;CAYENNE;27
LA ROCHE-SUR-YON;SAINT-ANDRE;46
LA ROCHE-SUR-YON;SAINT-PAUL;55
LA ROCHE-SUR-YON;TAMPON;83
POITIERS;NEUILLY-SUR-SEINE;95
POITIERS;ISSY-LES-MOULINEAUX;99
POITIERS;RUEIL-MALMAISON;98
POITIERS;LEVALLOIS-PERRET;93
POITIERS;BOULOGNE-BILLANCOURT;99
POITIERS;ASNIERES-SUR-SEINE;92
POITIERS;COLOMBES;93
POITIERS;COURBEVOIE;94
POITIERS;CLICHY;92
POITIERS;NANTERRE;97
POITIERS;MONTREUIL;91
POITIERS;AULNAY-SOUS-BOIS;82
POITIERS;SAINT-DENIS;88
POITIERS;NOISY-LE-GRAND;90
POITIERS;AUBERVILLIERS;88
POITIERS;PANTIN;89
POITIERS;BONDY;87
POITIERS;EPINAY-SUR-SEINE;88
POITIERS;DRANCY;85
POITIERS;LE BLANC-MESNIL;85
POITIERS;FONTENAY-SOUS-BOIS;91
POITIERS;SAINT-MAUR-DES-FOSSES;95
POITIERS;VILLEJUIF;98
POITIERS;VITRY-SUR-SEINE;98
POITIERS;CHAMPIGNY-SUR-MARNE;94
POITIERS;IVRY-SUR-SEINE;96
POITIERS;MAISONS-ALFORT;96
POITIERS;CRETEIL;97
POITIERS;CERGY;98
POITIERS;ARGENTEUIL;91
POITIERS;SARCELLES;82
LIMOGES;EVRY;65
LIMOGES;NEUILLY-SUR-SEINE;42
LIMOGES;CLAMART;42
LIMOGES;ISSY-LES-MOULINEAUX;42
LIMOGES;RUEIL-MALMAISON;34
LIMOGES;ANTONY;47
LIMOGES;LEVALLOIS-PERRET;43
LIMOGES;BOULOGNE-BILLANCOURT;40
LIMOGES;ASNIERES-SUR-SEINE;43
LIMOGES;COLOMBES;40
LIMOGES;COURBEVOIE;40
LIMOGES;CLICHY;45
LIMOGES;NANTERRE;34
LIMOGES;MONTREUIL;60
LIMOGES;AULNAY-SOUS-BOIS;69
LIMOGES;SAINT-DENIS;51
LIMOGES;NOISY-LE-GRAND;75
LIMOGES;AUBERVILLIERS;54
LIMOGES;PANTIN;56
LIMOGES;BONDY;64
LIMOGES;EPINAY-SUR-SEINE;46
LIMOGES;DRANCY;62
LIMOGES;LE BLANC-MESNIL;62
LIMOGES;FONTENAY-SOUS-BOIS;66
LIMOGES;SAINT-MAUR-DES-FOSSES;68
LIMOGES;VILLEJUIF;53
LIMOGES;VITRY-SUR-SEINE;57
LIMOGES;CHAMPIGNY-SUR-MARNE;70
LIMOGES;IVRY-SUR-SEINE;55
LIMOGES;MAISONS-ALFORT;61
LIMOGES;CRETEIL;64
LIMOGES;CERGY;19
LIMOGES;ARGENTEUIL;39
LIMOGES;SARCELLES;54
LIMOGES;AJACCIO;75
LIMOGES;FORT-DE-FRANCE;89
LIMOGES;MAMOUDZOU;61
EVRY;NEUILLY-SUR-SEINE;28
EVRY;CLAMART;24
EVRY;ISSY-LES-MOULINEAUX;24
EVRY;RUEIL-MALMAISON;33
EVRY;ANTONY;19
EVRY;LEVALLOIS-PERRET;28
EVRY;BOULOGNE-BILLANCOURT;27
EVRY;ASNIERES-SUR-SEINE;28
EVRY;COLOMBES;31
EVRY;COURBEVOIE;30
EVRY;CLICHY;26
EVRY;NANTERRE;34
EVRY;MONTREUIL;19
EVRY;AULNAY-SOUS-BOIS;28
EVRY;SAINT-DENIS;26
EVRY;NOISY-LE-GRAND;23
EVRY;AUBERVILLIERS;24
EVRY;PANTIN;22
EVRY;BONDY;23
EVRY;EPINAY-SUR-SEINE;29
EVRY;DRANCY;25
EVRY;LE BLANC-MESNIL;25
EVRY;FONTENAY-SOUS-BOIS;19
EVRY;SAINT-MAUR-DES-FOSSES;15
EVRY;VILLEJUIF;16
EVRY;VITRY-SUR-SEINE;13
EVRY;CHAMPIGNY-SUR-MARNE;17
EVRY;IVRY-SUR-SEINE;16
EVRY;MAISONS-ALFORT;14
EVRY;CRETEIL;13
EVRY;CERGY;50
EVRY;ARGENTEUIL;33
EVRY;SARCELLES;31
EVRY;AJACCIO;36
NEUILLY-SUR-SEINE;CLAMART;5
NEUILLY-SUR-SEINE;ISSY-LES-MOULINEAUX;4
NEUILLY-SUR-SEINE;RUEIL-MALMAISON;7
NEUILLY-SUR-SEINE;ANTONY;10
NEUILLY-SUR-SEINE;LEVALLOIS-PERRET;2
NEUILLY-SUR-SEINE;BOULOGNE-BILLANCOURT;3
NEUILLY-SUR-SEINE;ASNIERES-SUR-SEINE;2
NEUILLY-SUR-SEINE;COLOMBES;2
NEUILLY-SUR-SEINE;COURBEVOIE;1
NEUILLY-SUR-SEINE;CLICHY;3
NEUILLY-SUR-SEINE;NANTERRE;7
NEUILLY-SUR-SEINE;MONTREUIL;18
NEUILLY-SUR-SEINE;AULNAY-SOUS-BOIS;28
NEUILLY-SUR-SEINE;SAINT-DENIS;10
NEUILLY-SUR-SEINE;NOISY-LE-GRAND;33
NEUILLY-SUR-SEINE;AUBERVILLIERS;13
NEUILLY-SUR-SEINE;PANTIN;14
NEUILLY-SUR-SEINE;BONDY;22
NEUILLY-SUR-SEINE;EPINAY-SUR-SEINE;6
NEUILLY-SUR-SEINE;DRANCY;20
NEUILLY-SUR-SEINE;LE BLANC-MESNIL;20
NEUILLY-SUR-SEINE;FONTENAY-SOUS-BOIS;24
NEUILLY-SUR-SEINE;SAINT-MAUR-DES-FOSSES;26
NEUILLY-SUR-SEINE;VILLEJUIF;12
NEUILLY-SUR-SEINE;VITRY-SUR-SEINE;16
NEUILLY-SUR-SEINE;CHAMPIGNY-SUR-MARNE;28
NEUILLY-SUR-SEINE;IVRY-SUR-SEINE;13
NEUILLY-SUR-SEINE;MAISONS-ALFORT;19
NEUILLY-SUR-SEINE;CRETEIL;23
NEUILLY-SUR-SEINE;CERGY;24
NEUILLY-SUR-SEINE;ARGENTEUIL;5
NEUILLY-SUR-SEINE;SARCELLES;15
NEUILLY-SUR-SEINE;AJACCIO;56
NEUILLY-SUR-SEINE;MAMOUDZOU;96
CLAMART;ISSY-LES-MOULINEAUX;1
CLAMART;RUEIL-MALMAISON;9
CLAMART;ANTONY;5
CLAMART;LEVALLOIS-PERRET;7
CLAMART;BOULOGNE-BILLANCOURT;2
CLAMART;ASNIERES-SUR-SEINE;8
CLAMART;COLOMBES;8
CLAMART;COURBEVOIE;7
CLAMART;CLICHY;8
CLAMART;NANTERRE;10
CLAMART;MONTREUIL;19
CLAMART;AULNAY-SOUS-BOIS;30
CLAMART;SAINT-DENIS;14
CLAMART;NOISY-LE-GRAND;33
CLAMART;AUBERVILLIERS;15
CLAMART;PANTIN;16
CLAMART;BONDY;23
CLAMART;EPINAY-SUR-SEINE;11
CLAMART;DRANCY;22
CLAMART;LE BLANC-MESNIL;22
CLAMART;FONTENAY-SOUS-BOIS;24
CLAMART;SAINT-MAUR-DES-FOSSES;25
CLAMART;VILLEJUIF;11
CLAMART;VITRY-SUR-SEINE;14
CLAMART;CHAMPIGNY-SUR-MARNE;27
CLAMART;IVRY-SUR-SEINE;13
CLAMART;MAISONS-ALFORT;18
CLAMART;CRETEIL;22
CLAMART;CERGY;26
CLAMART;ARGENTEUIL;10
CLAMART;SARCELLES;19
CLAMART;AJACCIO;50
CLAMART;MAMOUDZOU;93
ISSY-LES-MOULINEAUX;RUEIL-MALMAISON;8
ISSY-LES-MOULINEAUX;ANTONY;6
ISSY-LES-MOULINEAUX;LEVALLOIS-PERRET;6
ISSY-LES-MOULINEAUX;BOULOGNE-BILLANCOURT;2
ISSY-LES-MOULINEAUX;ASNIERES-SUR-SEINE;7
ISSY-LES-MOULINEAUX;COLOMBES;7
ISSY-LES-MOULINEAUX;COURBEVOIE;5
ISSY-LES-MOULINEAUX;CLICHY;7
ISSY-LES-MOULINEAUX;NANTERRE;9
ISSY-LES-MOULINEAUX;MONTREUIL;18
ISSY-LES-MOULINEAUX;AULNAY-SOUS-BOIS;29
ISSY-LES-MOULINEAUX;SAINT-DENIS;13
ISSY-LES-MOULINEAUX;NOISY-LE-GRAND;33
ISSY-LES-MOULINEAUX;AUBERVILLIERS;15
ISSY-LES-MOULINEAUX;PANTIN;16
ISSY-LES-MOULINEAUX;BONDY;23
ISSY-LES-MOULINEAUX;EPINAY-SUR-SEINE;10
ISSY-LES-MOULINEAUX;DRANCY;22
ISSY-LES-MOULINEAUX;LE BLANC-MESNIL;22
ISSY-LES-MOULINEAUX;FONTENAY-SOUS-BOIS;24
ISSY-LES-MOULINEAUX;SAINT-MAUR-DES-FOSSES;25
ISSY-LES-MOULINEAUX;VILLEJUIF;11
ISSY-LES-MOULINEAUX;VITRY-SUR-SEINE;15
ISSY-LES-MOULINEAUX;CHAMPIGNY-SUR-MARNE;27
ISSY-LES-MOULINEAUX;IVRY-SUR-SEINE;12
ISSY-LES-MOULINEAUX;MAISONS-ALFORT;18
ISSY-LES-MOULINEAUX;CRETEIL;22
ISSY-LES-MOULINEAUX;CERGY;25
ISSY-LES-MOULINEAUX;ARGENTEUIL;9
ISSY-LES-MOULINEAUX;SARCELLES;19
ISSY-LES-MOULINEAUX;AJACCIO;51
ISSY-LES-MOULINEAUX;MAMOUDZOU;94
RUEIL-MALMAISON;ANTONY;14
RUEIL-MALMAISON;LEVALLOIS-PERRET;9
RUEIL-MALMAISON;BOULOGNE-BILLANCOURT;6
RUEIL-MALMAISON;ASNIERES-SUR-SEINE;9
RUEIL-MALMAISON;COLOMBES;5
